etapa,descripcion,tiempo_promedio_horas,tiempo_mediana_horas,num_episodios_validos,pct_sobre_total,nota,alerta_outlier
E1_AltaMedica_PrimeraFactura,Alta médica → Primera factura,202.26,0.0,6337,5.59,"Validado: OK: folio+ext pertenecen al mismo p_num_exp y f_area. Base: 113,315 episodios.",ALERTA: mediana 0 porque sistema legacy registra fecha sin hora. Promedio puede estar influido por casos extremos.
E2_PrimeraUltimaFactura,Primera factura → Última factura (ciclo de rework),164.35,0.0,20703,18.27,"Validado: OK: folio+ext pertenecen al mismo p_num_exp y f_area. Base: 113,315 episodios.",ALERTA: mediana 0 porque sistema legacy registra fecha sin hora. Promedio puede estar influido por casos extremos.
E3_PrimeraUltimaTransaccion,Primera transacción → Última transacción,188.13,0.0,15225,13.44,"Validado: OK: folio+ext pertenecen al mismo p_num_exp y f_area. Base: 113,315 episodios.",ALERTA: mediana 0 porque sistema legacy registra fecha sin hora. Promedio puede estar influido por casos extremos.
E5_UltimaFactura_CierreFolio,Última factura → Cierre de folio (proxy alta administrativa),91.79,0.0,12765,11.27,"Validado: OK: folio+ext pertenecen al mismo p_num_exp y f_area. Base: 113,315 episodios.",ALERTA: mediana 0 porque sistema legacy registra fecha sin hora. Promedio puede estar influido por casos extremos.
E4_PrimeraUltimaRequisicion,Primera requisición → Última requisición,,,0,0.0,No calculable: pac_num (HOSREQ) no cruza con p_num_exp (HOSPAC). Llaves incompatibles.,
