clase,precision,recall,f1-score,support
alto,0.0490743461651484,0.5091463414634146,0.08952023586169928,328.0
critico,0.5956542276806802,0.44875444839857653,0.5118733509234829,2810.0
moderado,0.13753581661891118,0.19047619047619047,0.15973377703826955,252.0
rapido,0.8309010152284264,0.46510388918486945,0.5963793692360242,5631.0
accuracy_global,0.4539408047888261,0.4539408047888261,0.4539408047888261,9021.0
